date,open,high,low,close,volume
2018-09-28,6.754398,6.981997,6.726413,6.959707,709396000.000000
2018-10-01,7.037472,7.233122,6.998837,7.166255,622060000.000000
2018-10-02,7.138765,7.250459,7.072640,7.094929,383964000.000000
2018-10-03,7.165263,7.172693,6.997103,7.101120,320552000.000000
2018-10-04,7.064963,7.089233,6.839841,6.916863,391220000.000000
2018-10-05,6.892097,6.954259,6.625863,6.683320,426636000.000000
2018-10-08,6.600106,6.715515,6.441109,6.582027,408612000.000000
2018-10-09,6.561472,6.656077,6.508473,6.576332,273500000.000000
2018-10-10,6.470334,6.516151,6.082501,6.084730,684940000.000000
2018-10-11,5.997552,6.131041,5.801654,5.823201,725436000.000000
2018-10-12,6.080271,6.180078,5.935143,6.105780,608236000.000000
2018-10-15,6.092406,6.092406,5.828402,5.829392,449760000.000000
2018-10-16,5.942077,6.099340,5.892793,6.088195,408712000.000000
2018-10-17,6.150358,6.188498,5.970558,6.019594,329668000.000000
2018-10-18,6.088939,6.127326,5.871742,5.932170,524020000.000000
2018-10-19,5.987400,6.006965,5.639192,5.675597,613608000.000000
2018-10-22,5.727852,5.827906,5.623588,5.726366,368844000.000000
2018-10-23,5.459142,5.552262,5.367013,5.474745,626436000.000000
2018-10-24,5.436356,5.482916,4.924693,4.938562,884288000.000000
2018-10-25,4.840987,5.194644,4.796656,5.147341,951720000.000000
2018-10-26,4.911322,5.073043,4.782787,4.910827,664784000.000000
2018-10-29,5.051992,5.055459,4.359043,4.597043,758016000.000000
2018-10-30,4.620075,5.037380,4.597042,5.027473,807192000.000000
2018-10-31,5.192167,5.264979,5.052487,5.221391,745772000.000000
2018-11-01,5.257796,5.411097,5.131243,5.401686,566528000.000000
2018-11-02,5.392274,5.498024,5.206034,5.322682,452960000.000000
2018-11-05,5.309555,5.332836,5.083938,5.244669,379332000.000000
2018-11-06,5.236745,5.320949,5.189937,5.227086,299012000.000000
2018-11-07,5.293706,5.384349,5.230058,5.294697,483812000.000000
2018-11-08,5.235507,5.236250,5.048029,5.101524,511352000.000000
2018-11-09,5.012614,5.183994,4.978933,5.093598,413240000.000000
2018-11-12,5.002213,5.024255,4.672331,4.694126,617116000.000000
2018-11-13,4.791950,5.057439,4.785758,4.936087,644712000.000000
2018-11-14,5.109201,5.123565,4.775605,4.883584,526580000.000000
2018-11-15,4.877639,5.084435,4.841729,5.012366,840708000.000000
2018-11-16,4.044764,4.226545,4.002414,4.072254,1963520000.000000
2018-11-19,4.006872,4.007614,3.581889,3.583623,1697820000.000000
2018-11-20,3.320114,3.820384,3.301539,3.692097,1692032000.000000
2018-11-21,3.829300,3.846140,3.556627,3.583870,1025496000.000000
2018-11-23,3.549199,3.704728,3.536320,3.591053,411968000.000000
2018-11-26,3.712157,3.800819,3.629687,3.790417,814832000.000000
2018-11-27,3.764414,3.888491,3.728503,3.807259,738060000.000000
2018-11-28,3.924896,3.969475,3.792399,3.964274,804524000.000000
2018-11-29,3.966505,4.003691,3.870813,3.901058,549172000.000000
2018-11-30,3.910727,4.062198,3.860402,4.051538,729564000.000000
2018-12-03,4.278869,4.330433,4.148470,4.215405,890804000.000000
2018-12-04,4.170780,4.175738,3.879738,3.894860,812112000.000000
2018-12-06,3.754298,3.929072,3.738680,3.924114,692308000.000000
2018-12-07,3.928327,3.938492,3.610015,3.659349,681676000.000000
2018-12-10,3.614478,3.789500,3.610759,3.764709,629472000.000000
2018-12-11,3.856435,3.864616,3.594645,3.673728,671912000.000000
2018-12-12,3.679430,3.787517,3.590184,3.691330,654136000.000000
2018-12-13,3.738184,3.802392,3.655135,3.691082,471384000.000000
2018-12-14,3.649433,3.733225,3.607041,3.630592,471820000.000000
2018-12-17,3.600595,3.672736,3.501432,3.559443,662868000.000000
2018-12-18,3.603322,3.726780,3.576053,3.642740,564372000.000000
2018-12-19,3.609024,3.662572,3.382190,3.433754,745364000.000000
2018-12-20,3.425325,3.515315,3.289472,3.349218,749588000.000000
2018-12-21,3.375744,3.408715,3.184608,3.212125,863740000.000000
2018-12-24,3.135770,3.222289,3.086436,3.150396,463840000.000000
2018-12-26,3.196508,3.300628,3.085445,3.299637,695100000.000000
2018-12-27,3.247328,3.281787,3.103294,3.251791,637044000.000000
2018-12-28,3.272367,3.405989,3.230471,3.313272,628728000.000000
2018-12-31,3.356655,3.389131,3.278812,3.309553,465140000.000000
2019-01-02,3.238651,3.433010,3.224025,3.376983,508752000.000000
2019-01-03,3.316742,3.350705,3.165519,3.172956,705552000.000000
2019-01-04,3.246089,3.414417,3.215349,3.376240,585620000.000000
2019-01-07,3.433506,3.591919,3.382189,3.554981,709160000.000000
2019-01-08,3.636542,3.638773,3.393841,3.466478,786016000.000000
2019-01-09,3.517795,3.582003,3.467222,3.534653,617260000.000000
2019-01-10,3.515315,3.609024,3.454826,3.600347,523156000.000000
2019-01-11,3.578035,3.712401,3.550270,3.689593,874764000.000000
2019-01-14,3.637285,3.754793,3.613734,3.729506,730168000.000000
2019-01-15,3.762230,3.801648,3.697031,3.715376,617012000.000000
2019-01-16,3.742646,3.775617,3.684388,3.689842,470104000.000000
2019-01-17,3.656870,3.801152,3.629600,3.761239,493436000.000000
2019-01-18,3.811068,3.916428,3.759503,3.890398,651336000.000000
2019-01-22,3.860153,3.871805,3.657861,3.688106,661552000.000000
2019-01-23,3.743389,3.832140,3.669761,3.700997,591020000.000000
2019-01-24,3.785533,3.930558,3.780823,3.912957,708972000.000000
2019-01-25,3.853461,3.988322,3.750827,3.970225,1154572000.000000
2019-01-28,3.385164,3.511349,3.247576,3.421359,2511528000.000000
2019-01-29,3.375248,3.423590,3.247824,3.262450,1153932000.000000
2019-01-30,3.338558,3.420367,3.258980,3.405989,974228000.000000
2019-01-31,3.402766,3.599356,3.380950,3.563657,842852000.000000
2019-02-01,3.582250,3.639020,3.534652,3.587952,625048000.000000
2019-02-04,3.603818,3.735456,3.581754,3.698270,528592000.000000
2019-02-05,3.710169,3.754049,3.676454,3.717359,542424000.000000
2019-02-06,3.750578,3.857426,3.745124,3.792970,702464000.000000
2019-02-07,3.746612,3.748844,3.611751,3.654639,637120000.000000
2019-02-08,3.587456,3.683891,3.573077,3.673232,461604000.000000
2019-02-11,3.629105,3.683396,3.582250,3.630592,495180000.000000
2019-02-12,3.669017,3.763222,3.654639,3.747604,591060000.000000
2019-02-13,3.777105,3.863129,3.763470,3.789996,605372000.000000
2019-02-14,3.789004,3.859162,3.745868,3.830900,827264000.000000
2019-02-15,4.039638,4.062445,3.877755,3.900563,1516748000.000000
2019-02-19,3.889902,3.963779,3.870814,3.883209,551892000.000000
2019-02-20,3.912462,3.997742,3.901306,3.930559,540988000.000000
2019-02-21,3.943202,3.967745,3.847014,3.861641,448548000.000000
2019-02-22,3.913454,3.965266,3.899819,3.946425,401740000.000000
2019-02-25,4.029970,4.097400,3.925353,3.934030,656020000.000000
2019-02-26,3.929319,3.985346,3.861144,3.894612,488464000.000000
2019-02-27,3.880233,3.906759,3.795697,3.852715,500256000.000000
2019-02-28,3.846512,3.868847,3.805814,3.828148,324944000.000000
2019-03-01,3.878029,3.924683,3.819711,3.882496,357188000.000000
2019-03-04,3.920961,3.943792,3.834104,3.890685,409992000.000000
2019-03-05,3.875051,3.922450,3.820703,3.884233,362924000.000000
2019-03-06,3.875299,3.883737,3.770575,3.773304,403524000.000000
2019-03-07,3.749729,3.759408,3.657909,3.704067,450104000.000000
2019-03-08,3.614729,3.748985,3.593387,3.738314,422416000.000000
2019-03-11,3.761890,4.021715,3.714739,3.998885,859728000.000000
2019-03-12,4.026677,4.079536,3.950491,4.033130,579576000.000000
2019-03-13,4.070602,4.213792,4.063157,4.184509,768900000.000000
2019-03-14,4.193691,4.205603,4.100878,4.108572,519384000.000000
2019-03-15,4.151753,4.256725,4.148278,4.214042,661484000.000000
2019-03-18,4.245556,4.299408,4.165648,4.192698,486992000.000000
2019-03-19,4.287247,4.404876,4.270372,4.360455,854972000.000000
2019-03-20,4.389490,4.442845,4.293203,4.327946,719148000.000000
2019-03-21,4.351026,4.590998,4.346063,4.564693,824312000.000000
2019-03-22,4.537395,4.586034,4.390979,4.404876,747644000.000000
2019-03-25,4.364179,4.428453,4.246302,4.312562,525212000.000000
2019-03-26,4.454262,4.510346,4.332911,4.389244,703508000.000000
2019-03-27,4.414803,4.461209,4.310575,4.380060,474372000.000000
2019-03-28,4.406118,4.464436,4.345566,4.398673,480264000.000000
2019-03-29,4.465428,4.480318,4.415051,4.455998,456896000.000000
2019-04-01,4.547820,4.553776,4.476101,4.523500,483824000.000000
2019-04-02,4.547570,4.585787,4.504638,4.541366,440920000.000000
2019-04-03,4.590998,4.739896,4.586035,4.680833,783504000.000000
2019-04-04,4.665447,4.714335,4.609115,4.671900,457376000.000000
2019-04-05,4.715080,4.756027,4.678600,4.738655,481744000.000000
2019-04-08,4.708130,4.784564,4.684058,4.759500,424192000.000000
2019-04-09,4.725999,4.737166,4.654528,4.696716,439972000.000000
2019-04-10,4.695971,4.793002,4.691504,4.767193,444772000.000000
2019-04-11,4.769674,4.801191,4.703911,4.753295,374600000.000000
2019-04-12,4.792010,4.795981,4.706642,4.715328,471708000.000000
2019-04-15,4.707635,4.712598,4.543848,4.583554,440092000.000000
2019-04-16,4.622762,4.689518,4.590005,4.670657,394964000.000000
2019-04-17,4.705650,4.726495,4.625493,4.647828,351004000.000000
2019-04-18,4.654528,4.688526,4.595466,4.623260,380988000.000000
2019-04-22,4.599683,4.692744,4.568167,4.677110,279936000.000000
2019-04-23,4.690262,4.762973,4.680583,4.731705,346856000.000000
2019-04-24,4.742130,4.784814,4.681331,4.744116,318204000.000000
2019-04-25,4.703912,4.726247,4.558738,4.638398,499296000.000000
2019-04-26,4.484538,4.489005,4.300650,4.419519,868988000.000000
2019-04-29,4.427460,4.478085,4.355244,4.450291,391920000.000000
2019-04-30,4.418029,4.517294,4.398921,4.491734,362920000.000000
2019-05-01,4.544096,4.586283,4.478332,4.478581,354280000.000000
2019-05-02,4.488260,4.587773,4.445080,4.546082,394684000.000000
2019-05-03,4.554518,4.564445,4.480070,4.541614,336824000.000000
2019-05-06,4.355245,4.475356,4.318021,4.463196,422176000.000000
2019-05-07,4.414804,4.414804,4.247791,4.295934,555220000.000000
2019-05-08,4.268388,4.396191,4.256476,4.316035,419168000.000000
2019-05-09,4.247046,4.256724,4.104601,4.223470,660248000.000000
2019-05-10,4.192698,4.258213,4.069858,4.189472,569500000.000000
2019-05-13,4.057450,4.080529,3.916246,3.932128,656912000.000000
2019-05-14,3.971834,4.056457,3.933121,4.021218,524880000.000000
2019-05-15,3.965630,3.996650,3.906319,3.960170,502320000.000000
2019-05-16,3.954710,4.017991,3.912274,3.975307,781088000.000000
2019-05-17,3.933369,4.062661,3.845023,3.884481,1022068000.000000
2019-05-20,3.785713,3.840805,3.741044,3.765860,572064000.000000
2019-05-21,3.826659,3.863883,3.787946,3.848001,361848000.000000
2019-05-22,3.809288,3.835345,3.766108,3.777027,325868000.000000
2019-05-23,3.714738,3.714738,3.596117,3.655924,591844000.000000
2019-05-24,3.674784,3.710023,3.595372,3.602073,357584000.000000
2019-05-28,3.619692,3.652450,3.554922,3.556907,428356000.000000
2019-05-29,3.509259,3.544250,3.447964,3.482706,559800000.000000
2019-05-30,3.485936,3.521712,3.417862,3.456123,394300000.000000
